Umur,Yogurt Bark Fruity rasa apa yang anda sukai?
18,1
22,1
22,1
22,1
22,1
24,1
25,1
25,1
23,1
20,2
18,1
21,1
19,1
19,1
21,1
22,2
23,2
24,1
25,1
24,2
25,1
22,1
23,1
18,1
19,1
18,1
19,1
18,1
22,1
25,1
24,1
23,1
22,1
23,2
25,1
18,1
19,1
22,1
21,2
20,1
22,1
24,2
25,1
20,2
21,1
22,2
19,2
22,1
24,1
24,1
22,1
20,1
19,1
20,1
21,1
22,1
23,1
24,1
22,2
24,1
24,1
20,1
19,1
19,1
19,1
18,1
21,1
20,1
22,1
22,1
23,1
21,2
21,1
21,1
19,1
18,1
19,1
19,1
18,1
22,1
24,2
25,2
22,1
21,2
25,2
23,1
21,1
20,1
25,1
19,1
18,1
